-4.341,-0.489
-1.652,-6.642
0.647,-5.556
0.220,3.054
-1.115,2.494
-4.663,-0.060
-5.262,-0.760
7.409,-8.343
6.870,-5.722
0.597,-4.606
0.346,-5.902
-6.275,-2.852
-0.525,3.154
8.440,-9.008
0.624,-4.792
7.758,-9.212
9.586,-6.823
1.321,3.634
0.482,-6.379
7.666,-8.253
7.752,-6.584
-4.925,-2.343
1.663,3.311
-4.132,-2.522
7.956,-8.040
-5.974,-3.128
0.010,-3.513
0.882,3.075
-4.860,-0.670
0.387,2.401
1.774,-6.476
-7.280,-1.720
0.882,1.467
7.960,-7.667
6.753,-7.434
-1.404,5.320
7.378,-6.656
-6.221,-1.766
1.114,-6.777
7.845,-8.125
0.136,-6.003
-0.213,2.573
8.955,-8.289
8.013,-6.759
8.829,-7.766
-0.290,-4.768
2.403,-6.184
-4.471,-0.925
0.574,-5.543
9.108,-7.234
-4.232,-2.308
1.652,-5.932
-0.296,3.135
0.546,-5.940
0.663,-5.959
-4.693,-1.521
-4.165,-2.681
-4.016,-0.912
-0.080,2.223
7.615,-8.861
-6.531,-1.440
-5.837,-4.218
0.004,-5.612
1.322,2.949
-0.663,1.680
0.790,-6.106
-0.353,-7.059
0.263,3.220
7.160,-7.517
0.229,-6.187
-2.472,-1.606
9.007,-8.629
-3.731,-1.164
-5.327,-2.409
-7.050,-1.949
9.700,-8.926
2.239,2.569
-6.314,-2.783
2.173,1.255
8.748,-10.505
-1.517,-5.784
-0.759,1.336
-6.136,-3.147
-5.780,-3.811
-6.316,-1.766
-5.461,0.138
-7.099,-3.037
1.160,-5.404
1.048,-4.973
8.073,-7.805
8.620,-8.642
-5.491,-0.995
1.339,2.244
-6.121,-2.463
7.496,-9.039
1.108,-5.670
9.289,-8.270
-6.061,-3.824
3.432,1.998
-0.374,1.447
0.025,2.032
-5.862,-0.597
1.118,2.663
8.478,-8.602
-5.592,-4.265
8.921,-7.981
1.181,-5.267
0.487,3.989
2.815,-3.740
-4.730,-2.186
1.217,3.384
1.626,2.040
1.869,-4.832
8.839,-8.559
-0.323,-4.349
7.633,-6.820
0.672,-4.596
10.363,-7.757
7.001,-6.358
8.163,-7.670
-5.565,-4.763
1.428,-4.311
7.784,-8.817
-0.004,-5.019
9.627,-8.748
8.954,-6.908
1.330,-5.179
9.467,-8.137
9.598,-8.745
1.811,1.197
-4.424,-1.574
9.263,-6.801
-0.198,-3.951
-0.953,3.496
2.244,-3.346
9.274,-6.982
6.973,-8.334
2.132,2.099
7.094,-5.496
0.173,-5.853
-5.814,-0.940
7.844,-8.845
-0.010,-7.242
1.213,1.809
9.286,-6.684
6.269,-9.276
1.902,2.254
0.950,-5.458
2.287,-5.359
8.067,-8.467
8.182,-7.881
1.010,-5.792
-0.848,0.950
7.880,-8.021
0.463,3.697
1.983,2.107
1.125,-5.827
2.387,3.497
-4.952,-2.575
1.496,-8.570
8.400,-7.558
-6.128,-1.760
1.050,2.978
-4.160,-2.308
-3.988,-2.478
0.068,4.016
1.725,2.324
-5.113,-2.615
-0.027,-4.675
0.716,-5.361
-5.636,-2.085
-0.048,2.625
7.583,-7.746
0.274,-4.958
8.838,-8.020
1.391,-5.665
-0.283,-5.898
8.510,-8.207
0.417,-4.624
8.874,-7.368
0.612,-5.703
-0.900,-4.277
7.220,-7.289
8.349,-8.742
-7.097,-1.492
0.345,-7.227
-4.256,-1.637
-4.903,-2.947
2.556,5.242
-5.195,-1.009
-5.264,-3.899
0.104,-4.899
-6.055,-1.463
0.074,-4.859
0.418,3.469
0.843,3.569
0.528,2.556
-0.323,2.979
0.111,1.590
-1.111,-5.895
-0.062,-5.106
0.785,0.846
0.414,2.601
-7.091,-1.683
-0.205,-5.628
8.269,-10.366
0.957,2.229
-0.120,2.379
1.417,3.918
6.700,-6.729
0.333,2.850
7.304,-9.876
7.941,-9.028
1.805,-6.773
0.781,2.586
-0.066,-6.156
-5.171,-1.922
-5.434,-0.575
-6.455,-2.883
0.993,-4.089
8.383,-7.036
0.701,-5.219
-0.647,-5.774
-5.367,-2.152
1.788,-4.572
-4.059,-3.437
-0.703,2.693
1.194,-5.353
0.716,-5.508
1.281,-6.233
-4.935,-2.786
-5.524,-1.786
7.659,-8.003
9.369,-6.763
0.454,-3.231
9.357,-7.672
0.399,-7.226
-5.568,-0.935
1.724,-3.653
0.609,3.752
0.773,-6.061
1.672,3.009
